,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
9,"(0, 1, 2, 3, 4, 5, 6, 7, 8)",[0.85721806 0.78326096 0.86063956 0.78722713],0.8220864248024483,"('monthly_charges', 'total_charges', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'gender_Male')",0.05913221346664231,0.03688889720761703,0.021297814732926128
8,"(0, 1, 2, 3, 4, 6, 7, 8)",[0.86991709 0.8026714  0.87485195 0.80509356],0.8381335019461745,"('monthly_charges', 'total_charges', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'gender_Male')",0.05499207259589588,0.03430612172784957,0.019806648614426017
7,"(0, 1, 2, 3, 4, 6, 7)",[0.86669299 0.80898802 0.86063956 0.81237006],0.8371726577164793,"('monthly_charges', 'total_charges', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic')",0.04265020531870499,0.02660680105900333,0.015361443753690392
6,"(0, 1, 2, 3, 4, 7)",[0.87853665 0.79997368 0.83905777 0.8175026 ],0.8337676749546322,"('monthly_charges', 'total_charges', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'internet_service_Fiber optic')",0.047000665552323004,0.02932078166205132,0.016928361185435573
