,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)",[0.69936834 0.66456113 0.6900908  0.65384615],0.6769666049176511,"('payment_method_Electronic check',)",0.029585031461891138,0.018456254560764513,0.01065572353888965
2,"(3, 5)",[0.75937623 0.74891433 0.77319384 0.72810551],0.752397478799596,"('type_Two year', 'payment_method_Electronic check')",0.02638138892421789,0.016457701938870105,0.009501858644649282
3,"(2, 3, 5)",[0.80727727 0.78806422 0.80668509 0.76975052],0.7929442755488945,"('type_One year', 'type_Two year', 'payment_method_Electronic check')",0.024781620492332495,0.015459706264767666,0.008925665573556157
4,"(2, 3, 5, 7)",[0.82418739 0.79813133 0.8343861  0.79684252],0.8133868362938389,"('type_One year', 'type_Two year', 'payment_method_Electronic check', 'internet_service_Fiber optic')",0.026144647260365153,0.01631001359117194,0.009416590737349573
5,"(2, 3, 5, 6, 7)",[0.82616134 0.80240821 0.84063693 0.80925156],0.8196145084469206,"('type_One year', 'type_Two year', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic')",0.023887250617252956,0.014901764722362695,0.008603537873856572
6,"(2, 3, 4, 5, 6, 7)",[0.82879326 0.79813133 0.84412423 0.79489345],0.816485568339225,"('type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic')",0.03322536267804224,0.020727229992963277,0.011966871815992633
