iter	Logloss
0	0.6877642822
1	0.6817063904
2	0.6752645111
3	0.6681494141
4	0.6630223083
5	0.6544570923
6	0.6481200409
7	0.642746582
8	0.6380202103
9	0.6343302536
10	0.6290371704
11	0.6220813751
12	0.6172436523
13	0.6134723282
14	0.6098617935
15	0.6061093521
16	0.6024962616
17	0.5986617661
18	0.5959853745
19	0.5929840469
20	0.5889994049
21	0.5846446991
22	0.5814974594
23	0.5784732437
24	0.5765538025
25	0.5747107697
26	0.5729421997
27	0.5702872086
28	0.5672513199
29	0.5649297333
30	0.5634479523
31	0.5597239685
32	0.557615509
33	0.5535554504
34	0.5518689728
35	0.5503722382
36	0.5484959793
37	0.5453398895
38	0.5417579269
39	0.5398899078
40	0.5371235275
41	0.5334384918
42	0.5322975159
43	0.529984436
44	0.5270672607
45	0.5257179642
46	0.5228635788
47	0.5219826508
48	0.5195337296
49	0.518177948
50	0.5160234833
51	0.51364151
52	0.5117779541
53	0.5104924011
54	0.5095051956
55	0.5078172302
56	0.5066585159
57	0.5061546326
58	0.5050463486
59	0.503919487
60	0.5035107422
61	0.5021418762
62	0.5011820602
63	0.4991530228
64	0.4981398773
65	0.4961092758
66	0.4952239609
67	0.4944534683
68	0.4935988998
69	0.4928787231
70	0.4921883392
71	0.4908572006
72	0.4905833435
73	0.4896234512
74	0.4881337738
75	0.4874004745
76	0.4866138458
77	0.4858050537
78	0.4850398254
79	0.4844621277
80	0.4838940811
81	0.4833525848
82	0.482040863
83	0.4814402771
84	0.4800025558
85	0.4795362854
86	0.4790336227
87	0.4786329269
88	0.4775550842
89	0.4770040131
90	0.4763417053
91	0.4759788132
92	0.475265007
93	0.4747698975
94	0.4742391205
95	0.4738689423
96	0.4725943756
97	0.4720079803
98	0.4708842468
99	0.4703429794
100	0.4696994019
101	0.4685215759
102	0.4680715561
103	0.4678026581
104	0.4673903656
105	0.4671949387
106	0.4660777283
107	0.4650146866
108	0.4649418259
109	0.4641070938
110	0.4638045502
111	0.4633459854
112	0.4622395325
113	0.4619120789
114	0.4616426086
115	0.4615859222
116	0.4609286499
117	0.4599924088
118	0.4598130035
119	0.4588074493
120	0.4584167862
121	0.4577729416
122	0.4570413208
123	0.4567721558
124	0.4560414886
125	0.4557336426
126	0.4555134964
127	0.4554733276
128	0.4548427582
129	0.4541773605
130	0.4539268494
131	0.45379776
132	0.4532296753
133	0.4528647614
134	0.4523168564
135	0.451905365
136	0.4516023254
137	0.451370697
138	0.4507445526
139	0.450476265
140	0.4502468872
141	0.4500383759
142	0.4497602844
143	0.449533577
144	0.4487943649
145	0.4480928802
146	0.4478240967
147	0.4476102448
148	0.4473526764
149	0.4470796967
150	0.4469120789
151	0.4461714935
152	0.4460507584
153	0.445830307
154	0.4457089233
155	0.4452094269
156	0.4446661377
157	0.4445147705
158	0.4443478012
159	0.443826828
160	0.4435850525
161	0.4434085846
162	0.443074913
163	0.4429141998
164	0.4423764038
165	0.442208786
166	0.4420864868
167	0.4419850159
168	0.441771698
169	0.4416165161
170	0.4413855362
171	0.4411061859
172	0.4406014633
173	0.4404195404
174	0.4402866745
175	0.4401036072
176	0.4399803925
177	0.4398197556
178	0.4394481659
179	0.4392762756
180	0.4390986633
181	0.4387521744
182	0.4387416077
183	0.4386798477
184	0.4385387802
185	0.4383683777
186	0.4381278229
187	0.43787323
188	0.4377487946
189	0.4376010513
190	0.4374957275
191	0.4372316742
192	0.4369917297
193	0.4368371582
194	0.436476593
195	0.4360384369
196	0.4359458923
197	0.4356825638
198	0.4356254959
199	0.4354112625
200	0.4353104401
201	0.435068512
202	0.4348763275
203	0.4347446442
204	0.4346228027
205	0.4344867325
206	0.4342612457
207	0.4342554092
208	0.4341905212
209	0.4338175201
210	0.4336806488
211	0.4335923386
212	0.4334155655
213	0.4331993103
214	0.4330791473
215	0.432946167
216	0.4327117538
217	0.4326023102
218	0.432433548
219	0.4323169708
220	0.4319716644
221	0.431741333
222	0.4316417313
223	0.4314672852
224	0.4313815308
225	0.431289444
226	0.4312319183
227	0.4311385345
228	0.4310325623
229	0.4308898163
230	0.4308115768
231	0.430723114
232	0.4306496429
233	0.4305670929
234	0.4304813385
235	0.4303369141
236	0.4302044678
237	0.4300380707
238	0.4299313736
239	0.4296567535
240	0.4292605591
241	0.4290860367
242	0.429002533
243	0.4289153671
244	0.4287482071
245	0.4284194183
246	0.4281131744
247	0.4279402161
248	0.4278411102
249	0.4277028275
250	0.4275968552
251	0.4274851227
252	0.427411499
253	0.4273312378
254	0.4272224808
255	0.4270983124
256	0.4269832993
257	0.4266996765
258	0.4266320038
259	0.4265357971
260	0.4263489151
261	0.4262516022
262	0.4260588074
263	0.4257474899
264	0.4254811096
265	0.4253881454
266	0.4252693939
267	0.4251819611
268	0.4249917603
269	0.4248929214
270	0.4248295593
271	0.4247546387
272	0.4247055054
273	0.4246440887
274	0.4241799927
275	0.4239805222
276	0.4239089966
277	0.4238163757
278	0.4235725784
279	0.4235050201
280	0.4234149933
281	0.4233280945
282	0.4232418442
283	0.4231833649
284	0.423026886
285	0.4227671814
286	0.4227129745
287	0.4226541138
288	0.4224160004
289	0.4221271515
290	0.422088089
291	0.421866684
292	0.4217018127
293	0.421518631
294	0.4214517975
295	0.4213391113
296	0.4212566757
297	0.4211809158
298	0.4210460281
299	0.4209972
